"日期","最新","開市","高","低","成交量","更改%"
"2016年10月18日","50.29","50.04","50.78","49.76","192.80K","0.70"
"2016年10月17日","49.94","50.23","50.58","49.47","418.72K","-0.81"
"2016年10月14日","50.35","50.58","51.14","49.90","519.43K","-0.18"
"2016年10月13日","50.44","50.00","50.59","49.36","740.68K","0.52"
"2016年10月12日","50.18","50.84","51.17","49.89","533.88K","-1.20"
"2016年10月11日","50.79","51.10","51.54","50.39","765.61K","-1.09"
"2016年10月10日","51.35","49.57","51.60","49.15","686.07K","3.09"
"2016年10月7日","49.81","50.59","50.74","49.40","618.81K","-1.25"
"2016年10月6日","50.44","49.65","50.63","49.33","547.92K","1.22"
"2016年10月5日","49.83","49.26","49.97","49.10","520.07K","2.34"
"2016年10月4日","48.69","48.65","49.26","48.26","513.71K","-0.25"
"2016年10月3日","48.81","48.04","49.02","47.78","458.02K","1.18"
"2016年9月30日","48.24","47.76","48.30","47.04","496.52K","0.86"
"2016年9月29日","47.83","47.20","48.32","46.60","702.65K","1.66"
"2016年9月28日","47.05","44.96","47.45","44.35","1.01M","5.33"
"2016年9月27日","44.67","45.62","45.96","44.19","630.76K","-2.74"
"2016年9月26日","45.93","44.62","46.20","44.43","527.12K","3.26"
"2016年9月23日","44.48","46.07","46.55","44.22","718.40K","-3.97"
"2016年9月22日","46.32","45.62","46.52","45.52","521.68K","2.16"
"2016年9月21日","45.34","44.50","45.65","44.50","585.99K","4.37"
"2016年9月20日","43.44","43.13","44.05","42.55","37.38K","0.32"
"2016年9月19日","43.30","43.18","44.15","43.12","129.86K","0.63"
"2016年9月16日","43.03","43.71","43.75","42.74","231.19K","-2.00"
"2016年9月15日","43.91","43.70","44.34","43.26","537.19K","0.76"
"2016年9月14日","43.58","45.00","45.33","43.42","705.86K","-2.94"
"2016年9月13日","44.90","46.06","46.13","44.77","657.78K","-3.00"
"2016年9月12日","46.29","45.57","46.51","44.72","745.02K","0.89"
"2016年9月9日","45.88","47.36","47.36","45.56","688.19K","-3.65"
"2016年9月8日","47.62","46.12","47.75","45.77","761.94K","4.66"
"2016年9月7日","45.50","44.85","46.17","44.55","572.88K","1.49"
"2016年9月6日","44.83","44.15","46.53","43.84","932.15K","-0.53"
"2016年9月5日","45.07","44.12","46.53","44.07","0","2.18"
"2016年9月4日","44.11","44.15","44.38","44.10","0","-0.74"
"2016年9月2日","44.44","43.55","44.67","43.16","576.92K","2.97"
"2016年9月1日","43.16","44.85","45.08","43.00","605.00K","-3.45"
"2016年8月31日","44.70","46.24","46.41","44.51","549.01K","-3.56"
"2016年8月30日","46.35","46.98","47.49","46.21","464.45K","-1.34"
"2016年8月29日","46.98","47.22","47.28","46.62","309.25K","-1.39"
"2016年8月26日","47.64","47.37","48.46","46.94","558.34K","0.65"
"2016年8月25日","47.33","46.80","47.46","46.42","458.82K","1.20"
"2016年8月24日","46.77","47.59","47.74","46.45","603.50K","-2.77"
"2016年8月23日","48.10","47.39","48.32","46.59","623.90K","2.23"
"2016年8月22日","47.05","48.40","48.40","46.75","36.53K","-3.03"
"2016年8月19日","48.52","48.33","48.75","47.93","162.44K","0.62"
"2016年8月18日","48.22","46.90","48.38","46.63","229.28K","3.06"
"2016年8月17日","46.79","46.37","46.95","45.84","563.35K","0.45"
"2016年8月16日","46.58","45.59","46.73","45.34","550.44K","1.84"
"2016年8月15日","45.74","44.74","45.93","44.38","522.53K","2.81"
"2016年8月12日","44.49","43.46","44.78","43.31","536.08K","2.30"
"2016年8月11日","43.49","41.48","43.86","41.10","682.24K","4.27"
"2016年8月10日","41.71","42.74","43.39","41.42","676.15K","-2.48"
"2016年8月9日","42.77","42.83","43.52","42.47","624.70K","-0.58"
"2016年8月8日","43.02","41.99","43.39","41.81","562.53K","2.92"
"2016年8月5日","41.80","41.84","42.10","41.06","550.19K","-0.31"
"2016年8月4日","41.93","41.16","42.08","40.43","598.84K","2.69"
"2016年8月3日","40.83","39.70","41.20","39.19","655.19K","3.34"
"2016年8月2日","39.51","40.08","40.91","39.26","534.51K","-1.37"
"2016年8月1日","40.06","41.35","41.88","39.82","533.02K","-3.70"
"2016年7月29日","41.60","41.12","41.67","40.57","478.76K","1.12"
"2016年7月28日","41.14","41.93","42.22","41.04","447.91K","-1.86"
"2016年7月27日","41.92","42.66","43.20","41.68","537.39K","-2.33"
"2016年7月26日","42.92","43.07","43.39","42.36","461.32K","-0.49"
"2016年7月25日","43.13","44.20","44.37","42.97","389.84K","-2.40"
"2016年7月22日","44.19","44.60","44.97","43.74","428.41K","-1.25"
"2016年7月21日","44.75","45.65","46.09","44.52","432.97K","-0.42"
"2016年7月20日","44.94","44.59","45.25","43.69","29.39K","0.65"
"2016年7月19日","44.65","45.23","45.67","44.53","128.13K","-1.30"
"2016年7月18日","45.24","46.12","46.14","44.86","211.39K","-1.55"
"2016年7月15日","45.95","45.52","46.33","45.05","430.26K","0.59"
"2016年7月14日","45.68","45.14","45.80","44.95","573.76K","2.08"
"2016年7月13日","44.75","46.58","46.71","44.56","686.25K","-4.38"
"2016年7月12日","46.80","44.58","46.93","44.51","658.26K","4.56"
"2016年7月11日","44.76","45.07","45.77","44.42","533.66K","-1.43"
"2016年7月8日","45.41","45.19","45.97","44.77","583.08K","0.60"
"2016年7月7日","45.14","47.88","48.25","44.87","710.89K","-4.83"
"2016年7月6日","47.43","46.83","47.95","45.92","607.66K","1.78"
"2016年7月5日","46.60","49.11","49.35","46.33","609.19K","-4.21"
"2016年7月4日","48.65","49.01","49.35","48.54","0","-0.73"
"2016年7月3日","49.01","49.14","49.22","48.94","0","0.04"
"2016年7月1日","48.99","48.38","49.30","47.90","405.19K","1.37"
"2016年6月30日","48.33","49.55","49.62","48.17","508.74K","-3.11"
"2016年6月29日","49.88","48.06","50.00","47.98","511.48K","4.24"
"2016年6月28日","47.85","46.59","48.18","46.54","498.85K","3.28"
"2016年6月27日","46.33","47.81","47.96","45.83","504.61K","-2.75"
"2016年6月24日","47.64","50.30","50.45","46.70","649.45K","-4.93"
"2016年6月23日","50.11","49.08","50.23","49.08","401.89K","1.99"
"2016年6月22日","49.13","50.22","50.54","48.40","569.94K","0.57"
"2016年6月21日","48.85","49.14","49.32","48.16","30.11K","-1.05"
"2016年6月20日","49.37","48.29","49.42","48.14","98.29K","2.90"
"2016年6月17日","47.98","45.99","48.29","45.83","226.65K","3.83"
"2016年6月16日","46.21","47.45","47.75","45.91","507.91K","-3.75"
"2016年6月15日","48.01","47.90","48.72","47.28","527.87K","-0.99"
"2016年6月14日","48.49","48.52","48.69","47.84","456.14K","-0.80"
"2016年6月13日","48.88","48.85","49.28","48.16","506.04K","-0.39"
"2016年6月10日","49.07","50.47","50.73","48.80","596.12K","-2.95"
"2016年6月9日","50.56","51.45","51.67","50.23","560.72K","-1.31"
"2016年6月8日","51.23","50.41","51.62","50.32","656.42K","1.73"
"2016年6月7日","50.36","49.71","50.53","49.44","542.25K","1.35"
"2016年6月6日","49.69","48.88","49.90","48.71","450.47K","2.20"
"2016年6月3日","48.62","49.04","49.41","48.33","481.03K","-1.12"
"2016年6月2日","49.17","48.90","49.47","47.97","564.85K","0.33"
"2016年6月1日","49.01","48.82","49.25","47.75","568.84K","-0.18"
"2016年5月31日","49.10","49.54","50.10","48.81","476.99K","-0.83"
"2016年5月30日","49.51","49.56","49.75","49.08","0","-0.14"
"2016年5月29日","49.58","49.54","49.71","49.54","0","0.51"
"2016年5月27日","49.33","49.31","49.60","48.69","406.39K","-0.30"
"2016年5月26日","49.48","49.70","50.21","49.22","488.47K","-0.16"
"2016年5月25日","49.56","49.09","49.75","48.65","550.50K","1.93"
"2016年5月24日","48.62","48.08","49.27","47.64","475.97K","1.12"
"2016年5月23日","48.08","48.46","48.50","47.40","475.45K","0.69"
"2016年5月20日","47.75","48.20","48.79","47.44","28.52K","-0.85"
"2016年5月19日","48.16","47.87","48.28","46.73","108.82K","-0.06"
"2016年5月18日","48.19","48.53","48.95","47.75","343.18K","-0.25"
"2016年5月17日","48.31","47.90","48.76","47.53","470.44K","1.24"
"2016年5月16日","47.72","46.28","47.98","46.15","550.86K","3.27"
"2016年5月13日","46.21","46.41","46.49","45.75","519.36K","-1.05"
"2016年5月12日","46.70","46.00","47.02","45.61","715.10K","1.02"
"2016年5月11日","46.23","44.60","46.36","43.96","869.96K","3.52"
"2016年5月10日","44.66","43.25","44.79","43.03","709.42K","2.81"
"2016年5月9日","43.44","45.00","45.94","43.24","767.57K","-2.73"
"2016年5月6日","44.66","44.52","45.34","43.54","695.31K","0.77"
"2016年5月5日","44.32","44.04","46.07","43.96","746.16K","1.23"
"2016年5月4日","43.78","43.85","44.88","43.22","711.13K","0.30"
"2016年5月3日","43.65","44.92","45.35","43.32","625.55K","-2.52"
"2016年5月2日","44.78","45.90","46.15","44.54","464.03K","-2.48"
"2016年4月29日","45.92","45.90","46.78","45.24","598.44K","-0.24"
"2016年4月28日","46.03","45.30","46.14","44.94","487.41K","1.54"
"2016年4月27日","45.33","44.64","45.62","43.77","648.03K","2.93"
"2016年4月26日","44.04","42.96","44.83","42.50","564.39K","3.28"
"2016年4月25日","42.64","43.75","44.04","42.58","606.38K","-2.49"
"2016年4月22日","43.73","43.42","44.45","43.11","575.11K","1.27"
"2016年4月21日","43.18","43.97","44.49","43.05","671.10K","1.29"
"2016年4月20日","42.63","40.80","42.91","39.85","30.09K","3.77"
"2016年4月19日","41.08","40.04","41.53","39.58","101.73K","3.27"
"2016年4月18日","39.78","38.75","40.24","37.61","342.46K","-1.44"
"2016年4月15日","40.36","41.43","41.73","39.98","520.15K","-2.75"
"2016年4月14日","41.50","41.54","42.16","40.84","488.61K","-0.62"
"2016年4月13日","41.76","41.63","42.42","41.24","730.44K","-0.97"
"2016年4月12日","42.17","40.35","42.25","40.09","796.84K","4.48"
"2016年4月11日","40.36","39.72","40.75","39.25","679.35K","1.61"
"2016年4月8日","39.72","37.52","39.84","37.45","817.23K","6.60"
"2016年4月7日","37.26","37.76","38.30","36.69","626.75K","-1.30"
"2016年4月6日","37.75","36.52","37.90","36.43","751.05K","5.18"
"2016年4月5日","35.89","35.50","36.58","35.24","485.54K","0.53"
"2016年4月4日","35.70","36.61","37.21","35.46","549.48K","-2.96"
"2016年4月1日","36.79","38.14","38.56","36.63","547.19K","-4.04"
"2016年3月31日","38.34","38.30","39.04","37.57","532.15K","0.05"
"2016年3月30日","38.32","38.52","39.85","38.14","542.47K","0.10"
"2016年3月29日","38.28","39.32","39.48","37.91","488.03K","-2.82"
"2016年3月28日","39.39","39.55","40.14","38.86","299.78K","-0.18"
"2016年3月24日","39.46","39.73","39.77","38.33","495.17K","-0.83"
"2016年3月23日","39.79","41.19","41.34","39.67","492.00K","-4.00"
"2016年3月22日","41.45","41.59","41.90","40.77","463.69K","3.86"
"2016年3月21日","39.91","39.06","40.30","38.61","31.92K","1.19"
"2016年3月18日","39.44","40.25","41.20","39.15","130.15K","-1.89"
"2016年3月17日","40.20","38.59","40.36","38.47","298.01K","4.52"
"2016年3月16日","38.46","36.74","38.63","36.61","494.17K","5.83"
"2016年3月15日","36.34","37.37","37.40","35.96","446.10K","-2.26"
"2016年3月14日","37.18","38.17","38.77","36.68","489.94K","-3.43"
"2016年3月11日","38.50","37.99","39.02","37.92","564.79K","1.74"
"2016年3月10日","37.84","38.17","38.48","37.21","701.44K","-1.18"
"2016年3月9日","38.29","36.36","38.51","36.24","740.63K","4.90"
"2016年3月8日","36.50","37.94","38.39","36.12","706.93K","-3.69"
"2016年3月7日","37.90","36.20","38.11","36.09","709.87K","5.51"
"2016年3月4日","35.92","34.66","36.34","34.40","578.29K","3.91"
"2016年3月3日","34.57","34.73","35.32","34.19","512.96K","-0.26"
"2016年3月2日","34.66","33.89","35.17","33.55","597.83K","0.76"
"2016年3月1日","34.40","33.90","34.76","33.37","566.23K","1.93"
"2016年2月29日","33.75","32.72","33.98","32.32","512.47K","2.96"
"2016年2月26日","32.78","33.04","34.69","32.64","646.29K","-0.88"
"2016年2月25日","33.07","32.19","33.49","31.07","611.87K","2.86"
"2016年2月24日","32.15","31.28","32.40","30.56","652.25K","0.88"
"2016年2月23日","31.87","33.34","33.53","31.22","539.38K","1.24"
"2016年2月22日","31.48","29.72","32.05","29.48","26.32K","6.21"
"2016年2月19日","29.64","30.60","30.73","29.05","103.20K","-3.67"
"2016年2月18日","30.77","31.35","31.98","30.27","225.50K","0.36"
"2016年2月17日","30.66","29.14","31.49","28.73","578.64K","5.58"
"2016年2月16日","29.04","29.08","31.53","28.70","651.96K","-5.11"
"2016年2月15日","30.60","29.08","30.69","28.97","0","5.26"
"2016年2月14日","29.08","29.06","29.18","28.97","0","-1.24"
"2016年2月12日","29.44","27.30","29.66","26.95","675.16K","12.32"
"2016年2月11日","26.21","27.34","27.48","26.05","795.97K","-4.52"
"2016年2月10日","27.45","28.36","29.22","27.24","781.28K","-1.75"
"2016年2月9日","27.94","30.17","30.61","27.74","738.22K","-5.89"
"2016年2月8日","29.69","30.97","31.38","29.57","603.65K","-3.88"
"2016年2月5日","30.89","31.64","32.45","30.63","616.53K","-2.62"
"2016年2月4日","31.72","32.71","33.60","31.53","696.72K","-1.73"
"2016年2月3日","32.28","29.75","32.75","29.40","811.70K","8.03"
"2016年2月2日","29.88","31.37","31.53","29.57","602.56K","-5.50"
"2016年2月1日","31.62","33.83","34.18","31.29","595.61K","-5.95"
"2016年1月29日","33.62","33.70","34.40","32.65","618.11K","1.20"
"2016年1月28日","33.22","32.19","34.82","31.74","833.38K","2.85"
"2016年1月27日","32.30","30.55","32.84","30.14","738.55K","2.70"
"2016年1月26日","31.45","29.81","32.41","29.25","642.43K","3.66"
"2016年1月25日","30.34","32.05","32.74","29.68","606.89K","-5.75"
"2016年1月22日","32.19","29.84","32.35","29.53","636.57K","9.01"
"2016年1月21日","29.53","28.35","30.25","27.87","694.04K","11.22"
"2016年1月20日","26.55","28.33","28.58","26.19","32.11K","-6.71"
"2016年1月19日","28.46","29.20","30.21","28.21","188.03K","-5.21"
"2016年1月18日","30.02","29.76","30.88","29.67","0","0.94"
"2016年1月17日","29.75","30.68","30.68","29.36","0","1.10"
"2016年1月15日","29.42","31.18","31.18","29.13","329.09K","-5.71"
"2016年1月14日","31.20","30.60","31.77","30.28","537.91K","2.36"
"2016年1月13日","30.48","30.54","31.71","30.10","637.90K","0.13"
"2016年1月12日","30.44","31.11","32.21","29.93","627.22K","-3.09"
"2016年1月11日","31.41","32.94","33.20","30.88","648.64K","-5.28"
"2016年1月8日","33.16","33.30","34.34","32.64","596.50K","-0.33"
"2016年1月7日","33.27","34.09","34.26","32.10","617.41K","-2.06"
"2016年1月6日","33.97","36.18","36.39","33.77","563.81K","-5.56"
"2016年1月5日","35.97","36.90","37.10","35.74","410.13K","-2.15"
"2016年1月4日","36.76","37.60","38.39","36.33","431.99K","-0.76"
"","","","","","",""
"","最高:54.51","最低:26.05","差價:28.46","平均:43.41","更改%:45.03"
